"사용일자","노선명","역명","승차총승객수","하차총승객수","등록일자"
"20230901","3호선","대치","14014","14193","20230904",""
"20230901","3호선","도곡","5788","5797","20230904",""
"20230901","3호선","매봉","14265","13844","20230904",""
"20230901","3호선","양재(서초구청)","43468","45868","20230904",""
"20230901","3호선","남부터미널(예술의전당)","35139","35312","20230904",""
"20230901","3호선","교대(법원.검찰청)","18933","11313","20230904",""
"20230901","3호선","고속터미널","53978","53382","20230904",""
"20230901","3호선","잠원","6077","5670","20230904",""
"20230901","3호선","신사","32004","33864","20230904",""
"20230901","3호선","압구정","36161","39431","20230904",""
"20230901","3호선","옥수","10247","10209","20230904",""
"20230901","3호선","금호","9207","8476","20230904",""
"20230901","3호선","약수","15051","14543","20230904",""
"20230901","3호선","동대입구","10382","11589","20230904",""
"20230901","3호선","충무로","4","0","20230904",""
"20230901","3호선","을지로3가","13766","14367","20230904",""
"20230901","3호선","종로3가","12194","14916","20230904",""
"20230901","3호선","안국","29269","30169","20230904",""
"20230901","3호선","경복궁(정부서울청사)","28073","28500","20230904",""
